Launch_Detect
-4.47	0.93	-0.72	-53.11	9.02	33.69	25.41
1.01	-0.15	-0.04	-8.17	2.23	-0.98	25.41
1.01	-0.16	-0.05	-2.96	2.84	1.40	25.30
1.01	-0.18	-0.02	-0.98	0.27	-0.82	25.38
1.01	-0.18	-0.04	5.12	5.91	-3.14	25.30
1.02	-0.12	0.01	-0.40	0.52	1.95	25.35
1.01	-0.17	-0.09	-1.34	7.50	0.24	25.41
1.02	-0.16	-0.03	-0.09	12.93	2.01	25.30
0.98	-0.22	0.05	-6.71	4.05	-1.55	25.37
1.02	-0.16	-0.02	-1.74	-3.87	-3.14	25.34
1.02	-0.15	-0.06	-1.62	2.01	3.72	25.38
1.00	-0.12	0.06	-44.91	3.81	2.20	25.29
1.00	-0.14	0.04	-12.26	-2.96	-3.29	25.40
1.02	-0.12	-0.03	-7.44	-0.34	0.73	25.38
1.02	-0.19	-0.07	-39.15	7.65	1.01	25.40
1.02	-0.14	0.09	-0.06	1.77	1.83	25.37
1.00	-0.22	-0.08	2.16	-4.63	-4.79	25.41
1.02	-0.23	-0.00	47.99	-7.74	-19.05	25.37
1.00	-0.15	-0.11	104.48	-2.87	14.27	25.35
0.97	-0.23	-0.01	80.43	-10.85	-10.09	25.35
1.06	-0.06	-0.03	106.43	-17.84	0.61	25.32
1.03	-0.19	-0.07	107.77	-6.62	-5.21	25.29
1.04	-0.13	-0.01	86.22	-13.48	-1.83	25.38
1.01	-0.17	-0.01	64.48	-8.87	-1.83	25.37
1.01	-0.20	-0.03	57.71	-4.57	-9.51	25.38
1.01	-0.13	-0.01	46.10	-4.79	-5.76	25.37
1.02	-0.07	-0.07	40.52	-4.82	-1.40	25.34
1.03	-0.18	-0.07	27.84	-2.47	0.03	25.37
1.00	-0.16	0.04	28.78	-2.71	-3.20	25.41
1.05	-0.15	-0.01	34.54	-3.20	-2.80	25.40
1.00	-0.16	-0.00	9.36	4.24	-6.01	25.35
1.01	-0.15	0.01	4.57	-0.55	-2.16	25.37
0.98	-0.16	0.00	3.54	-10.61	4.97	25.37
1.00	-0.19	0.02	3.32	-2.16	-3.11	25.40
1.04	-0.10	-0.07	10.27	-3.45	1.83	25.40
0.99	-0.16	-0.00	-0.95	1.43	0.95	25.41
1.00	-0.24	0.06	-4.18	1.37	-2.16	25.37
1.02	-0.14	0.04	-21.65	4.76	-3.93	25.37
1.01	-0.11	0.03	-10.82	-2.84	3.26	25.34
1.01	-0.16	-0.00	-2.07	-7.53	3.48	25.46
1.01	-0.17	-0.06	-2.38	-1.92	1.71	25.35
1.02	-0.20	-0.09	0.49	1.49	0.52	25.35
1.01	-0.15	0.02	-0.91	-1.22	-0.06	25.40
1.01	-0.17	-0.04	-0.61	-0.82	-0.18	25.37
1.01	-0.16	-0.01	-0.55	0.58	-0.73	25.34
1.01	-0.16	-0.04	-1.01	0.61	-0.61	25.34
1.01	-0.17	-0.00	-4.76	2.29	-1.71	25.29
1.01	-0.15	-0.00	-1.10	-1.68	-1.37	25.37
1.01	-0.17	-0.04	-2.16	1.10	-0.55	25.41
1.01	-0.16	-0.01	-16.43	2.62	0.61	25.43
1.01	-0.17	-0.03	-36.74	4.70	0.88	25.37
1.01	-0.18	-0.00	-42.56	4.51	-1.25	25.41
1.02	-0.15	-0.11	-9.09	9.24	-0.67	25.35
1.02	-0.17	-0.05	15.88	0.43	-3.60	25.43
1.00	-0.15	0.00	18.51	2.84	-2.47	25.46
1.03	-0.15	-0.00	4.12	12.26	-8.57	25.34
1.05	-0.16	-0.07	21.68	21.83	-10.43	25.35
1.14	-0.14	-0.15	53.41	62.07	9.42	25.37
1.03	-0.12	0.01	51.22	103.20	-3.41	25.34
0.94	-0.16	0.18	20.82	91.22	-11.95	25.38
0.93	-0.11	0.21	5.43	70.55	2.38	25.38
0.96	-0.14	0.20	11.37	69.30	0.37	25.34
1.01	-0.14	0.20	20.34	104.51	7.62	25.40
0.83	-0.21	0.31	28.23	101.59	-1.07	25.35
0.89	-0.14	0.52	18.87	68.08	-25.76	25.35
0.91	-0.13	0.53	1.74	23.96	-25.61	25.37
0.99	-0.09	0.36	5.18	39.60	6.13	25.43
0.92	-0.06	0.38	24.88	52.50	10.00	25.35
0.90	-0.13	0.55	27.80	26.65	-14.42	25.34
0.92	-0.01	0.57	3.23	3.29	-2.23	25.35
0.93	-0.06	0.45	1.89	5.82	6.89	25.35
